iter	Passed	Remaining
0	188	150954
1	223	89234
2	258	68759
3	296	59066
4	330	52603
5	354	46953
6	384	43594
7	412	40795
8	439	38638
9	456	36028
10	487	34965
11	520	34154
12	569	34464
13	608	34156
14	647	33871
15	676	33159
16	694	31983
17	722	31394
18	754	31001
19	781	30460
20	810	30066
21	837	29616
22	883	29837
23	926	29946
24	956	29645
25	997	29691
26	1025	29367
27	1058	29195
28	1086	28887
29	1119	28732
30	1156	28690
31	1185	28462
32	1226	28504
33	1263	28456
34	1296	28331
35	1335	28349
36	1373	28333
37	1414	28370
38	1453	28361
39	1486	28235
40	1516	28065
41	1529	27603
42	1557	27424
43	1591	27338
44	1623	27239
45	1659	27199
46	1689	27066
47	1720	26948
48	1747	26789
49	1780	26702
50	1819	26716
51	1851	26639
52	1880	26511
53	1921	26547
54	1960	26551
55	1997	26541
56	2033	26506
57	2062	26391
58	2098	26358
59	2127	26233
60	2154	26095
61	2179	25937
62	2206	25810
63	2243	25804
64	2281	25793
65	2307	25657
66	2343	25640
67	2374	25560
68	2407	25500
69	2446	25514
70	2478	25447
71	2515	25434
72	2542	25323
73	2559	25114
74	2582	24965
75	2616	24924
76	2648	24870
77	2678	24794
78	2711	24750
79	2721	24491
80	2755	24457
81	2782	24363
82	2824	24401
83	2849	24290
84	2881	24237
85	2921	24258
86	2945	24135
87	2974	24066
88	2999	23959
89	3036	23958
90	3081	24004
91	3131	24100
92	3170	24104
93	3203	24061
94	3217	23880
95	3237	23744
96	3266	23675
97	3308	23701
98	3336	23622
99	3367	23571
100	3395	23499
101	3427	23456
102	3474	23511
103	3516	23534
104	3549	23494
105	3576	23418
106	3606	23360
107	3644	23354
108	3690	23395
109	3719	23333
110	3748	23266
111	3802	23360
112	3842	23359
113	3886	23386
114	3920	23350
115	3964	23375
116	3996	23329
117	4024	23259
118	4059	23233
119	4084	23144
120	4109	23062
121	4146	23044
122	4175	22981
123	4218	22997
124	4261	23013
125	4300	23006
126	4331	22955
127	4363	22905
128	4406	22919
129	4427	22819
130	4458	22771
131	4507	22811
132	4542	22780
133	4567	22701
134	4596	22642
135	4632	22615
136	4673	22618
137	4702	22557
138	4711	22407
139	4739	22344
140	4780	22343
141	4814	22311
142	4852	22293
143	4893	22294
144	4928	22262
145	4972	22275
146	5009	22253
147	5030	22163
148	5062	22118
149	5086	22040
150	5136	22076
151	5172	22052
152	5213	22046
153	5245	22003
154	5275	21952
155	5301	21884
156	5329	21827
157	5362	21788
158	5388	21723
159	5417	21669
160	5431	21556
161	5463	21517
162	5498	21486
163	5515	21390
164	5549	21356
165	5584	21330
166	5625	21324
167	5654	21271
168	5697	21273
169	5711	21167
170	5749	21149
171	5792	21149
172	5824	21109
173	5865	21103
174	5903	21084
175	5937	21052
176	5973	21025
177	6006	20989
178	6041	20959
179	6076	20929
180	6104	20876
181	6125	20799
182	6160	20769
183	6193	20734
184	6233	20722
185	6266	20687
186	6303	20662
187	6339	20636
188	6376	20613
189	6418	20607
190	6450	20565
191	6484	20534
192	6536	20558
193	6582	20560
194	6618	20533
195	6657	20516
196	6688	20473
197	6721	20437
198	6757	20407
